subset,unit_number,last_observed_cycle,actual_rul,predicted_rul,engine_id,prediction_error,risk_level,actual_risk_level,risk_match,recommended_action
FD002,124,149,7,0.0,FD002-124,-7.0,critical,critical,True,urgent maintenance
FD004,101,166,13,0.0,FD004-101,-13.0,critical,critical,True,urgent maintenance
FD004,174,135,10,0.0,FD004-174,-10.0,critical,critical,True,urgent maintenance
FD004,22,158,11,0.018288478,FD004-22,-10.981711521744728,critical,critical,True,urgent maintenance
FD002,90,163,8,0.42632002,FD002-90,-7.573679983615875,critical,critical,True,urgent maintenance
FD002,134,186,9,1.3818583,FD002-134,-7.6181416511535645,critical,critical,True,urgent maintenance
FD004,71,292,15,1.7188176,FD004-71,-13.281182408332825,critical,critical,True,urgent maintenance
FD004,173,151,8,3.4088247,FD004-173,-4.591175317764282,critical,critical,True,urgent maintenance
FD002,177,191,6,3.7377386,FD002-177,-2.262261390686035,critical,critical,True,urgent maintenance
FD002,9,161,11,3.9202917,FD002-9,-7.0797083377838135,critical,critical,True,urgent maintenance
FD003,82,194,6,4.0188594,FD003-82,-1.9811406135559082,critical,critical,True,urgent maintenance
FD004,159,160,22,4.9391813,FD004-159,-17.060818672180176,critical,critical,True,urgent maintenance
FD002,210,182,8,5.101436,FD002-210,-2.898563861846924,critical,critical,True,urgent maintenance
FD002,138,200,7,5.2807837,FD002-138,-1.7192163467407227,critical,critical,True,urgent maintenance
FD001,34,203,7,5.3517714,FD001-34,-1.648228645324707,critical,critical,True,urgent maintenance
FD004,155,161,7,5.3685374,FD004-155,-1.631462574005127,critical,critical,True,urgent maintenance
FD002,231,187,8,5.753367,FD002-231,-2.2466330528259277,critical,critical,True,urgent maintenance
FD002,50,164,13,6.081049,FD002-50,-6.918951034545898,critical,critical,True,urgent maintenance
FD001,76,205,10,6.1419168,FD001-76,-3.8580832481384277,critical,critical,True,urgent maintenance
FD002,22,159,10,6.1718554,FD002-22,-3.8281445503234863,critical,critical,True,urgent maintenance
FD002,186,166,10,6.268015,FD002-186,-3.731985092163086,critical,critical,True,urgent maintenance
FD004,12,270,7,6.3137393,FD004-12,-0.6862607002258301,critical,critical,True,urgent maintenance
FD001,41,123,18,6.534552,FD001-41,-11.465447902679443,critical,critical,True,urgent maintenance
FD002,111,131,9,6.721259,FD002-111,-2.278740882873535,critical,critical,True,urgent maintenance
FD002,44,164,6,6.876295,FD002-44,0.8762950897216797,critical,critical,True,urgent maintenance
FD002,148,157,11,7.156424,FD002-148,-3.843575954437256,critical,critical,True,urgent maintenance
FD004,238,177,16,7.306359,FD004-238,-8.693641185760498,critical,critical,True,urgent maintenance
FD002,45,195,15,7.4207926,FD002-45,-7.579207420349121,critical,critical,True,urgent maintenance
FD003,26,130,11,7.512901,FD003-26,-3.4870991706848145,critical,critical,True,urgent maintenance
FD004,58,185,8,7.840016,FD004-58,-0.15998411178588867,critical,critical,True,urgent maintenance
FD004,103,145,9,8.086482,FD004-103,-0.913517951965332,critical,critical,True,urgent maintenance
FD002,14,160,11,8.384943,FD002-14,-2.6150569915771484,critical,critical,True,urgent maintenance
FD003,94,333,10,8.521677,FD003-94,-1.478322982788086,critical,critical,True,urgent maintenance
FD004,8,248,14,8.760218,FD004-8,-5.239782333374023,critical,critical,True,urgent maintenance
FD002,102,122,8,8.824521,FD002-102,0.8245210647583008,critical,critical,True,urgent maintenance
FD002,11,162,6,8.84426,FD002-11,2.8442602157592773,critical,critical,True,urgent maintenance
FD002,164,199,14,8.895187,FD002-164,-5.1048126220703125,critical,critical,True,urgent maintenance
FD003,46,180,7,8.918881,FD003-46,1.9188814163208008,critical,critical,True,urgent maintenance
FD002,211,155,6,9.113601,FD002-211,3.113600730895996,critical,critical,True,urgent maintenance
FD003,39,310,8,9.438299,FD003-39,1.4382991790771484,critical,critical,True,urgent maintenance
FD003,24,475,9,9.443213,FD003-24,0.44321346282958984,critical,critical,True,urgent maintenance
FD002,5,148,15,9.448298,FD002-5,-5.551701545715332,critical,critical,True,urgent maintenance
FD001,68,187,8,9.473003,FD001-68,1.4730033874511719,critical,critical,True,urgent maintenance
FD002,252,249,12,9.490038,FD002-252,-2.5099620819091797,critical,critical,True,urgent maintenance
FD002,100,149,14,9.674418,FD002-100,-4.3255815505981445,critical,critical,True,urgent maintenance
FD002,245,265,16,9.898507,FD002-245,-6.101492881774902,critical,critical,True,urgent maintenance
FD003,99,289,8,9.965904,FD003-99,1.9659042358398438,critical,critical,True,urgent maintenance
FD002,91,278,9,10.2019005,FD002-91,1.2019004821777344,critical,critical,True,urgent maintenance
FD002,159,187,9,10.282751,FD002-159,1.2827510833740234,critical,critical,True,urgent maintenance
FD001,81,213,8,10.32309,FD001-81,2.323089599609375,critical,critical,True,urgent maintenance
FD001,35,198,11,10.326776,FD001-35,-0.6732244491577148,critical,critical,True,urgent maintenance
FD004,202,222,13,10.431821,FD004-202,-2.568179130554199,critical,critical,True,urgent maintenance
FD001,56,136,15,10.664936,FD001-56,-4.335063934326172,critical,critical,True,urgent maintenance
FD001,31,196,8,11.060472,FD001-31,3.060471534729004,critical,critical,True,urgent maintenance
FD002,1,258,18,11.074546,FD002-1,-6.925454139709473,critical,critical,True,urgent maintenance
FD004,100,196,7,11.084718,FD004-100,4.084717750549316,critical,critical,True,urgent maintenance
FD002,227,180,14,11.201622,FD002-227,-2.7983779907226562,critical,critical,True,urgent maintenance
FD001,42,156,10,11.329689,FD001-42,1.3296890258789062,critical,critical,True,urgent maintenance
FD002,103,186,8,11.413854,FD002-103,3.413853645324707,critical,critical,True,urgent maintenance
FD001,82,162,9,11.770814,FD001-82,2.7708139419555664,critical,critical,True,urgent maintenance
FD004,135,435,7,12.027436,FD004-135,5.027436256408691,critical,critical,True,urgent maintenance
FD001,66,147,14,12.064644,FD001-66,-1.9353561401367188,critical,critical,True,urgent maintenance
FD003,81,155,15,12.079003,FD003-81,-2.92099666595459,critical,critical,True,urgent maintenance
FD002,185,254,19,12.155469,FD002-185,-6.844531059265137,critical,critical,True,urgent maintenance
FD004,158,171,6,12.1842575,FD004-158,6.184257507324219,critical,critical,True,urgent maintenance
FD002,158,171,15,12.288816,FD002-158,-2.711183547973633,critical,critical,True,urgent maintenance
FD003,50,147,11,12.322024,FD003-50,1.3220243453979492,critical,critical,True,urgent maintenance
FD004,179,262,12,12.940601,FD004-179,0.9406013488769531,critical,critical,True,urgent maintenance
FD001,37,121,21,12.95613,FD001-37,-8.043869972229004,critical,critical,True,urgent maintenance
FD002,161,174,13,12.959338,FD002-161,-0.04066181182861328,critical,critical,True,urgent maintenance
FD004,113,132,13,13.085735,FD004-113,0.08573532104492188,critical,critical,True,urgent maintenance
FD001,20,184,16,13.111915,FD001-20,-2.88808536529541,critical,critical,True,urgent maintenance
FD002,65,367,11,13.474421,FD002-65,2.4744205474853516,critical,critical,True,urgent maintenance
FD004,184,154,10,13.78306,FD004-184,3.783060073852539,critical,critical,True,urgent maintenance
FD002,99,163,9,13.915507,FD002-99,4.9155073165893555,critical,critical,True,urgent maintenance
FD004,209,171,11,13.932055,FD004-209,2.9320554733276367,critical,critical,True,urgent maintenance
FD002,70,264,17,14.068722,FD002-70,-2.9312782287597656,critical,critical,True,urgent maintenance
FD004,118,178,8,14.097152,FD004-118,6.097151756286621,critical,critical,True,urgent maintenance
FD003,92,266,14,14.131873,FD003-92,0.13187313079833984,critical,critical,True,urgent maintenance
FD002,64,233,14,14.780498,FD002-64,0.7804975509643555,critical,critical,True,urgent maintenance
FD004,194,214,15,15.069528,FD004-194,0.06952762603759766,critical,critical,True,urgent maintenance
FD002,116,171,7,15.50467,FD002-116,8.504670143127441,critical,critical,True,urgent maintenance
FD004,216,264,17,15.526481,FD004-216,-1.4735193252563477,critical,critical,True,urgent maintenance
FD004,213,288,14,16.237347,FD004-213,2.237346649169922,critical,critical,True,urgent maintenance
FD002,225,166,11,16.432938,FD002-225,5.4329376220703125,critical,critical,True,urgent maintenance
FD002,242,194,17,16.441172,FD002-242,-0.5588283538818359,critical,critical,True,urgent maintenance
FD002,250,234,23,16.465487,FD002-250,-6.534513473510742,critical,critical,True,urgent maintenance
FD002,7,184,6,16.95362,FD002-7,10.953620910644531,critical,critical,True,urgent maintenance
FD004,65,186,12,17.24573,FD004-65,5.245729446411133,critical,critical,True,urgent maintenance
FD001,92,150,20,17.276548,FD001-92,-2.723451614379883,critical,critical,True,urgent maintenance
FD003,79,170,18,17.315418,FD003-79,-0.6845817565917969,critical,critical,True,urgent maintenance
FD001,61,159,21,17.341274,FD001-61,-3.6587257385253906,critical,critical,True,urgent maintenance
FD002,146,144,10,17.47845,FD002-146,7.478450775146484,critical,critical,True,urgent maintenance
FD003,21,263,18,17.582212,FD003-21,-0.4177875518798828,critical,critical,True,urgent maintenance
FD002,173,117,14,17.634363,FD002-173,3.6343631744384766,critical,critical,True,urgent maintenance
FD001,49,303,21,17.814152,FD001-49,-3.1858482360839844,critical,critical,True,urgent maintenance
FD001,24,186,20,18.071413,FD001-24,-1.9285869598388672,critical,critical,True,urgent maintenance
FD002,32,170,11,18.518845,FD002-32,7.5188446044921875,critical,critical,True,urgent maintenance
FD004,237,221,18,18.521086,FD004-237,0.5210857391357422,critical,critical,True,urgent maintenance
FD004,31,134,6,18.853409,FD004-31,12.853408813476562,critical,critical,True,urgent maintenance
FD002,84,204,17,18.922564,FD002-84,1.9225635528564453,critical,critical,True,urgent maintenance
FD002,208,166,8,19.209206,FD002-208,11.209205627441406,critical,critical,True,urgent maintenance
FD004,111,342,18,19.3108,FD004-111,1.310800552368164,critical,critical,True,urgent maintenance
FD001,100,198,20,19.49181,FD001-100,-0.5081901550292969,critical,critical,True,urgent maintenance
FD004,224,152,14,19.62418,FD004-224,5.624179840087891,critical,critical,True,urgent maintenance
FD002,190,158,12,19.759626,FD002-190,7.759626388549805,critical,critical,True,urgent maintenance
FD003,86,174,25,20.05296,FD003-86,-4.947040557861328,critical,critical,True,urgent maintenance
FD004,40,266,10,20.155172,FD004-40,10.155172348022461,critical,critical,True,urgent maintenance
FD002,182,134,14,20.361868,FD002-182,6.361867904663086,critical,critical,True,urgent maintenance
FD001,36,126,19,20.492231,FD001-36,1.4922313690185547,critical,critical,True,urgent maintenance
FD004,114,218,14,20.510527,FD004-114,6.510526657104492,critical,critical,True,urgent maintenance
FD004,183,125,15,20.527214,FD004-183,5.527214050292969,critical,critical,True,urgent maintenance
FD004,198,115,11,20.543655,FD004-198,9.543655395507812,critical,critical,True,urgent maintenance
