subset,include_cycle,validation_score,validation_mae,validation_rmse,validation_critical_recall,validation_high_priority_recall,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha
FD001,True,9.295508345118677,8.948286122896455,13.150364188503142,1.0,0.9305555555555556,900,0.028,4,10,0.9,0.85,3.0,0.1
FD001,False,10.074749684213387,9.460860795324498,13.623683312127199,0.9777777777777777,0.9305555555555556,250,0.05,5,8,0.85,0.85,2.0,0.05
FD001,False,10.29509329235915,9.611759959025816,13.940166342144098,0.9777777777777777,0.9166666666666666,900,0.028,4,10,0.9,0.85,3.0,0.1
FD002,True,17.0393885590366,14.876821714116815,21.34650153974627,0.9,0.8074866310160428,900,0.025,5,10,0.9,0.9,3.0,0.1
FD002,True,17.409053173700656,15.173224296695308,21.793957658484906,0.8916666666666667,0.8128342245989305,900,0.028,4,10,0.9,0.85,3.0,0.1
FD002,False,17.874539654692093,15.858496873943428,22.21481633775725,0.9166666666666666,0.7967914438502673,900,0.028,4,10,0.9,0.85,3.0,0.1
FD003,True,11.422208232257713,10.428992492773316,18.594144068503635,0.9545454545454546,0.9104477611940298,700,0.035,5,8,0.85,0.85,2.0,0.05
FD003,True,11.430884695934633,10.51229582212188,18.594142183186477,0.9545454545454546,0.9253731343283582,900,0.028,4,10,0.9,0.85,3.0,0.1
FD003,False,14.295304317272986,13.078207980773666,21.07643773056489,0.9545454545454546,0.8656716417910447,900,0.028,4,10,0.9,0.85,3.0,0.1
FD004,True,22.415072757330808,19.654277302785353,31.370536388308043,0.8454545454545455,0.81875,700,0.035,5,8,0.85,0.85,2.0,0.05
FD004,True,23.478998888487165,20.390930706668986,32.02812180015908,0.8181818181818182,0.81875,900,0.028,4,10,0.9,0.85,3.0,0.1
FD004,False,23.656727081537248,20.724340717900883,32.15576317486134,0.8363636363636363,0.80625,900,0.028,4,10,0.9,0.85,3.0,0.1
