subset,unit_number,actual_rul,predicted_rul
FD002,124,7,0.0
FD004,101,13,0.0
FD004,174,10,0.0
FD004,22,11,0.018288478
FD002,90,8,0.42632002
FD002,134,9,1.3818583
FD004,71,15,1.7188176
FD004,173,8,3.4088247
FD002,177,6,3.7377386
FD002,9,11,3.9202917
FD003,82,6,4.0188594
FD004,159,22,4.9391813
FD002,210,8,5.101436
FD002,138,7,5.2807837
FD001,34,7,5.3517714
FD004,155,7,5.3685374
FD002,231,8,5.753367
FD002,50,13,6.081049
FD001,76,10,6.1419168
FD002,22,10,6.1718554
FD002,186,10,6.268015
FD004,12,7,6.3137393
FD001,41,18,6.534552
FD002,111,9,6.721259
FD002,44,6,6.876295
FD002,148,11,7.156424
FD004,238,16,7.306359
FD002,45,15,7.4207926
FD003,26,11,7.512901
FD004,58,8,7.840016
FD004,103,9,8.086482
FD002,14,11,8.384943
FD003,94,10,8.521677
FD004,8,14,8.760218
FD002,102,8,8.824521
FD002,11,6,8.84426
FD002,164,14,8.895187
FD003,46,7,8.918881
FD002,211,6,9.113601
FD003,39,8,9.438299
FD003,24,9,9.443213
FD002,5,15,9.448298
FD001,68,8,9.473003
FD002,252,12,9.490038
FD002,100,14,9.674418
FD002,245,16,9.898507
FD003,99,8,9.965904
FD002,91,9,10.2019005
FD002,159,9,10.282751
FD001,81,8,10.32309
FD001,35,11,10.326776
FD004,202,13,10.431821
FD001,56,15,10.664936
FD001,31,8,11.060472
FD002,1,18,11.074546
FD004,100,7,11.084718
FD002,227,14,11.201622
FD001,42,10,11.329689
FD002,103,8,11.413854
FD001,82,9,11.770814
FD004,135,7,12.027436
FD001,66,14,12.064644
FD003,81,15,12.079003
FD002,185,19,12.155469
FD004,158,6,12.1842575
FD002,158,15,12.288816
FD003,50,11,12.322024
FD004,179,12,12.940601
FD001,37,21,12.95613
FD002,161,13,12.959338
FD004,113,13,13.085735
FD001,20,16,13.111915
FD002,65,11,13.474421
FD004,184,10,13.78306
FD002,99,9,13.915507
FD004,209,11,13.932055
FD002,70,17,14.068722
FD004,118,8,14.097152
FD003,92,14,14.131873
FD002,64,14,14.780498
FD004,194,15,15.069528
FD002,116,7,15.50467
FD004,216,17,15.526481
FD004,213,14,16.237347
FD002,225,11,16.432938
FD002,242,17,16.441172
FD002,250,23,16.465487
FD002,7,6,16.95362
FD004,65,12,17.24573
FD001,92,20,17.276548
FD003,79,18,17.315418
FD001,61,21,17.341274
FD002,146,10,17.47845
FD003,21,18,17.582212
FD002,173,14,17.634363
FD001,49,21,17.814152
FD001,24,20,18.071413
FD002,32,11,18.518845
FD004,237,18,18.521086
FD004,31,6,18.853409
FD002,84,17,18.922564
FD002,208,8,19.209206
FD004,111,18,19.3108
FD001,100,20,19.49181
FD004,224,14,19.62418
FD002,190,12,19.759626
FD003,86,25,20.05296
FD004,40,10,20.155172
FD002,182,14,20.361868
FD001,36,19,20.492231
FD004,114,14,20.510527
FD004,183,15,20.527214
FD004,198,11,20.543655
FD004,102,22,20.731714
FD002,58,26,20.750277
FD004,69,12,20.87305
FD004,181,37,21.25085
FD002,87,21,21.475668
FD004,126,15,21.784998
FD002,236,12,22.0611
FD003,78,20,22.53381
FD002,80,15,22.708847
FD004,15,12,22.87666
FD004,177,12,22.906008
FD004,82,10,23.67558
FD001,90,28,24.272709
FD002,19,22,25.026808
FD002,179,35,25.055273
FD003,64,28,25.282156
FD002,97,31,25.419538
FD003,76,27,25.60514
FD003,98,17,25.61949
FD002,42,27,25.90848
FD002,43,18,25.974108
FD004,116,13,26.02912
FD002,176,23,26.317785
FD001,18,28,26.442034
FD004,49,24,26.80386
FD004,42,30,27.277426
FD004,172,12,27.493038
FD002,48,13,28.296947
FD004,151,31,28.323038
FD002,192,13,28.367985
FD004,180,32,28.575813
FD003,100,28,28.762665
FD004,231,33,28.861156
FD004,32,22,28.870197
FD002,120,15,29.004215
FD002,109,35,29.985035
FD004,123,23,30.564016
FD004,38,11,30.992659
FD002,76,36,31.007856
FD003,14,31,31.01054
FD003,38,22,31.160154
FD004,248,26,31.253197
FD004,235,24,31.488993
FD002,171,36,31.609861
FD001,52,29,31.906576
FD004,222,39,32.885647
FD003,3,27,32.9203
FD001,64,28,33.07836
FD004,47,34,33.289345
FD004,35,36,33.70258
FD002,15,37,33.87322
