subset,config,hidden_size,dilations,dropout,loss,critical_weight,learning_rate,weight_decay,validation_score,validation_mae,validation_rmse,validation_critical_recall,validation_critical_misses,validation_high_priority_recall,validation_high_priority_misses,training_windows,validation_windows,window_cycles,window_stride
FD001,compact_huber_critical,32,1-2-4-8,0.08,huber,2.0,0.002,0.001,12.373504613901114,10.970907211303711,16.056082424943938,0.9318181818181818,6,0.8831168831168831,18,1508,398,30,10
FD001,wide_huber,64,1-2-4-8,0.08,huber,1.0,0.0015,0.001,12.72275078792232,10.813659878831412,15.67390199574894,0.8977272727272727,9,0.8636363636363636,21,1508,398,30,10
FD001,regularized_huber,48,1-2-4-8,0.18,huber,1.0,0.002,0.003,12.779225688063741,10.974030882868934,15.624296600417582,0.9090909090909091,8,0.8571428571428571,22,1508,398,30,10
FD001,critical_weighted_mse,48,1-2-4-8,0.08,mse,2.0,0.002,0.001,13.53099726304944,11.511516743568919,15.847167796251846,0.875,11,0.8961038961038961,16,1508,398,30,10
FD001,baseline_mse,48,1-2-4-8,0.08,mse,1.0,0.002,0.001,14.069231795741848,11.478322704832758,16.17232123188653,0.8409090909090909,14,0.8636363636363636,21,1508,398,30,10
FD001,short_receptive_field,48,1-2-4,0.1,mse,1.0,0.002,0.001,15.291456007937231,13.356391072872295,19.125714359124082,0.9090909090909091,8,0.8311688311688312,26,1508,398,30,10
FD002,critical_weighted_mse,48,1-2-4-8,0.08,mse,2.0,0.002,0.001,16.558855969601975,14.155347197672151,19.651128102561884,0.8728070175438597,29,0.8245614035087719,70,3884,1087,30,10
FD002,compact_huber_critical,32,1-2-4-8,0.08,huber,2.0,0.002,0.001,16.579765993124052,14.151194564552624,19.588954818469453,0.8728070175438597,29,0.8195488721804511,72,3884,1087,30,10
FD002,baseline_mse,48,1-2-4-8,0.08,mse,1.0,0.002,0.001,16.80865589979374,13.86880627573359,19.628051408753315,0.8333333333333334,38,0.8120300751879699,75,3884,1087,30,10
FD002,short_receptive_field,48,1-2-4,0.1,mse,1.0,0.002,0.001,17.64326475245957,15.214693323888138,21.37596551843565,0.8728070175438597,29,0.8195488721804511,72,3884,1087,30,10
FD002,regularized_huber,48,1-2-4-8,0.18,huber,1.0,0.002,0.003,17.71668593065698,14.628966632411364,20.358774841200574,0.8377192982456141,37,0.7719298245614035,91,3884,1087,30,10
FD002,wide_huber,64,1-2-4-8,0.08,huber,1.0,0.0015,0.001,17.76063045535809,15.186695618265357,21.48501708938534,0.8596491228070176,32,0.8220551378446115,71,3884,1087,30,10
FD003,baseline_mse,48,1-2-4-8,0.08,mse,1.0,0.002,0.001,12.813166175985733,10.533945396764954,15.779536441927767,0.875,11,0.8441558441558441,24,1853,469,30,10
FD003,compact_huber_critical,32,1-2-4-8,0.08,huber,2.0,0.002,0.001,13.641034098368417,11.030644487978806,16.901298905576937,0.8636363636363636,12,0.8051948051948052,30,1853,469,30,10
FD003,critical_weighted_mse,48,1-2-4-8,0.08,mse,2.0,0.002,0.001,14.167135685630306,11.693109711604333,17.332500913892414,0.875,11,0.8051948051948052,30,1853,469,30,10
FD003,regularized_huber,48,1-2-4-8,0.18,huber,1.0,0.002,0.003,14.345113181587244,11.15030798678205,16.41407265353212,0.8068181818181818,17,0.8246753246753247,27,1853,469,30,10
FD003,wide_huber,64,1-2-4-8,0.08,huber,1.0,0.0015,0.001,14.982375223152767,11.417440158217701,16.638906550913614,0.7840909090909091,19,0.8051948051948052,30,1853,469,30,10
FD003,short_receptive_field,48,1-2-4,0.1,mse,1.0,0.002,0.001,15.555570033428904,12.672453150312021,18.902967695775946,0.8409090909090909,14,0.8051948051948052,30,1853,469,30,10
FD004,compact_huber_critical,32,1-2-4-8,0.08,huber,2.0,0.002,0.001,14.608245575903688,12.605648173306284,19.671696870070036,0.9045454545454545,21,0.8285714285714286,66,4414,1324,30,10
FD004,baseline_mse,48,1-2-4-8,0.08,mse,1.0,0.002,0.001,14.829053185008284,12.623858379813479,19.968328370090287,0.8909090909090909,24,0.8207792207792208,69,4414,1324,30,10
FD004,critical_weighted_mse,48,1-2-4-8,0.08,mse,2.0,0.002,0.001,15.595283818810882,12.82385524738231,20.598356532459608,0.8545454545454545,32,0.7948051948051948,79,4414,1324,30,10
FD004,regularized_huber,48,1-2-4-8,0.18,huber,1.0,0.002,0.003,15.701286230702058,13.277909607325435,19.895124562443367,0.8727272727272727,28,0.8207792207792208,69,4414,1324,30,10
FD004,wide_huber,64,1-2-4-8,0.08,huber,1.0,0.0015,0.001,16.866019372516863,13.982902489399981,21.003158612724917,0.8409090909090909,35,0.8051948051948052,75,4414,1324,30,10
FD004,short_receptive_field,48,1-2-4,0.1,mse,1.0,0.002,0.001,17.94531805687506,14.272590784147788,20.891184086700594,0.7772727272727272,49,0.8,77,4414,1324,30,10
